listing_id,tower_number,transaction_date,unit_category,unit_number,floor_area_sqft,sale_price,listing_status,client_ref,price_per_sqft
50314,5,2024-01-01,Apartment,41,630.83,168855.2,Sold,C0999,267.6714804305439
50330,5,2024-01-01,Apartment,42,791.2,212618.56,Sold,C0290,268.7292214357937
50357,5,2024-01-01,Apartment,44,806.03,237203.75,Available,,294.28650298375993
50358,5,2024-01-01,Apartment,44,806.03,261814.63,Sold,C0919,324.8199570735581
50370,5,2024-01-01,Apartment,45,608.89,192992.54,Sold,C0780,316.9579727044294
60019,6,2024-01-01,Office,1,1720.95,580829.46,Available,,337.5051337923821
60028,6,2024-01-01,Apartment,3,605.21,185007.22,Sold,C1928,305.69095024867397
60039,6,2024-01-01,Apartment,4,1925.28,514067.14,Sold,C1274,267.00902725837284
60054,6,2024-01-01,Apartment,5,1617.43,447068.49,Sold,C0613,276.4067007536647
60058,6,2024-01-01,Apartment,5,1617.43,466754.91,Available,,288.57812084603347
60080,6,2024-01-01,Apartment,7,1075.42,342584.5,Available,,318.55879563333394
60088,6,2024-01-01,Apartment,7,1075.42,315829.36,Sold,C1975,293.6800133901173
60131,6,2024-01-01,Apartment,10,942.08,255614.83,Sold,C1695,271.3302798063858
60141,6,2024-01-01,Apartment,12,1678.17,455861.82,Sold,C1710,271.64221741539893
60164,6,2024-01-01,Apartment,14,1890.0,494576.31,Sold,C1470,261.6805873015873
60174,6,2024-01-01,Apartment,15,1392.45,407106.37,Sold,C0715,292.36695752091634
60204,6,2024-01-01,Apartment,19,1542.71,451237.67,Sold,C0159,292.49675570910927
60243,6,2024-01-01,Apartment,24,1159.75,343592.86,Sold,C1452,296.2645915067902
60288,6,2024-01-01,Apartment,32,793.11,276441.24,Sold,C1381,348.5534667322313
60416,6,2024-01-01,Apartment,50,1579.99,530260.93,Available,,335.61030766017507
60469,6,2024-01-01,Apartment,55,562.37,166043.13,Available,,295.2560236143464
70003,7,2024-01-01,Apartment,1,759.04,227804.43,Sold,C1572,300.1217722386172
70062,7,2024-01-01,Apartment,10,1495.37,432295.29,Sold,C1616,289.08918194159304
70079,7,2024-01-01,Apartment,12,804.65,250417.22,Available,,311.2126017523147
70104,7,2024-01-01,Apartment,14,714.65,214564.09,Sold,C0282,300.23660533128105
70138,7,2024-01-01,Apartment,16,1239.87,421526.61,Sold,C0501,339.97645720922355
70157,7,2024-01-01,Apartment,19,751.07,223691.45,Sold,C0200,297.83036201685593
70217,7,2024-01-01,Apartment,24,852.99,260906.28,Sold,C1459,305.8726128090599
70229,7,2024-01-01,Apartment,25,573.8,163464.75,Sold,C0294,284.881056117114
70231,7,2024-01-01,Apartment,25,573.8,159778.3,Available,,278.45643081212967
70241,7,2024-01-01,Apartment,27,768.05,238610.14,Available,,310.6700605429334
70249,7,2024-01-01,Office,28,694.55,222809.93,Sold,C0950,320.7975379742279
70277,7,2024-01-01,Apartment,32,1910.67,625903.82,Sold,C1122,327.58342361579963
70361,7,2024-01-01,Apartment,42,702.08,190215.58,Sold,C0179,270.9314892889699
70364,7,2024-01-01,Apartment,42,702.08,230011.45,Available,,327.61430321330903
70498,7,2024-01-01,Apartment,58,1629.83,450994.89,Sold,C0962,276.7128412165686
80028,8,2024-01-01,Apartment,4,1934.75,592274.66,Sold,C0580,306.12464659516735
80047,8,2024-01-01,Apartment,5,887.23,252418.74,Sold,C1761,284.50203442173955
80059,8,2024-01-01,Apartment,6,1370.17,382048.18,Sold,C1168,278.83268499529254
80089,8,2024-01-01,Apartment,9,1869.81,589033.68,Sold,C0974,315.02328044025865
80099,8,2024-01-01,Apartment,12,1430.46,365031.27,Available,,255.18453504467095
80111,8,2024-01-01,Apartment,14,685.93,227037.75,Sold,C1891,330.99259399647195
80124,8,2024-01-01,Apartment,14,685.93,182975.25,Sold,C1764,266.75498957619584
80147,8,2024-01-01,Office,18,1328.53,413926.08,Sold,C1973,311.56698004561434
80156,8,2024-01-01,Office,20,774.16,195608.73,Sold,C1925,252.67222537976647
80173,8,2024-01-01,Apartment,23,1114.67,355617.53,Available,,319.03391138184395
80179,8,2024-01-01,Apartment,25,1833.58,521184.68,Sold,C0173,284.24430894752345
80188,8,2024-01-01,Apartment,26,1625.38,453762.41,Sold,C0813,279.1731225928706
80271,8,2024-01-01,Apartment,33,1809.87,495423.92,Available,,273.7345334195274
80282,8,2024-01-01,Apartment,33,1809.87,499781.62,Sold,C1515,276.14227541204616
80303,8,2024-01-01,Apartment,35,529.26,151756.68,Available,,286.73370366171633
80307,8,2024-01-01,Apartment,36,673.86,212527.02,Sold,C1235,315.38749888700914
80312,8,2024-01-01,Apartment,36,673.86,204867.41,Sold,C0848,304.02073130917404
80327,8,2024-01-01,Apartment,37,890.65,276605.41,Sold,C0942,310.56577780272835
80339,8,2024-01-01,Apartment,37,890.65,195943.0,Sold,C1940,220.0
80378,8,2024-01-01,Office,45,1185.72,342306.8,Available,,288.69109064534626
80379,8,2024-01-01,Apartment,45,1185.72,364629.72,Sold,C1844,307.5175589515231
80396,8,2024-01-01,Apartment,46,1175.51,296772.64,Sold,C0863,252.46287994147224
80402,8,2024-01-01,Apartment,46,1175.51,283442.68,Sold,C1556,241.12315505610331
80418,8,2024-01-01,Apartment,48,480.99,140920.9,Sold,C0071,292.980935154577
80450,8,2024-01-01,Apartment,53,1891.72,543193.6,Sold,C0806,287.14270610872643
80456,8,2024-01-01,Apartment,54,1699.02,543500.27,Sold,C1880,319.89044861155253
80457,8,2024-01-01,Apartment,54,1699.02,503618.69,Sold,C0998,296.41716401219526
80462,8,2024-01-01,Apartment,55,1300.05,369856.38,Available,,284.49396561670704
80465,8,2024-01-01,Apartment,55,1300.05,484614.3,Sold,C1834,372.7658936194762
80468,8,2024-01-01,Apartment,55,1300.05,434169.98,Sold,C0436,333.9640629206569
80469,8,2024-01-01,Office,55,1300.05,488331.39,Sold,C0141,375.6250836506288
80476,8,2024-01-01,Apartment,56,1874.7,526682.25,Sold,C0570,280.94215074411903
80484,8,2024-01-01,Apartment,56,1874.7,726903.51,Sold,C1673,387.74391102576413
80491,8,2024-01-01,Apartment,57,1949.35,609563.43,Available,,312.7008643906944
90042,9,2024-01-01,Apartment,8,1315.55,455857.85,Available,,346.5150317357759
90065,9,2024-01-01,Apartment,11,559.6,184748.1,Available,,330.1431379556826
90068,9,2024-01-01,Apartment,12,952.38,306226.35,Sold,C0272,321.537989037989
90094,9,2024-01-01,Office,16,924.6,238207.62,Sold,C1485,257.63316028552885
90129,9,2024-01-01,Apartment,20,1664.76,467860.91,Sold,C0866,281.038053533242
90145,9,2024-01-01,Apartment,22,1115.88,352235.9,Sold,C0694,315.657507975768
90157,9,2024-01-01,Apartment,24,914.61,261048.14,Sold,C0191,285.4201681591061
90166,9,2024-01-01,Apartment,26,1038.39,309260.78,Sold,C0466,297.82719402151406
90172,9,2024-01-01,Apartment,26,1038.39,289396.65,Available,,278.6974547135469
90178,9,2024-01-01,Apartment,27,1207.33,381557.37,Available,,316.0340337770121
90184,9,2024-01-01,Office,27,1207.33,380937.24,Sold,C0084,315.5203962462624
90186,9,2024-01-01,Apartment,27,1207.33,355852.39,Sold,C0201,294.743268203391
90195,9,2024-01-01,Apartment,29,1426.22,426817.45,Available,,299.26480486881405
90198,9,2024-01-01,Apartment,29,1426.22,353758.33,Sold,C1814,248.0391033641374
90226,9,2024-01-01,Apartment,33,973.52,286269.59,Sold,C0109,294.05619812638673
90240,9,2024-01-01,Apartment,34,1577.36,411333.06,Sold,C1361,260.77310189176853
90260,9,2024-01-01,Apartment,34,1577.36,455434.65,Available,,288.7322171222803
90276,9,2024-01-01,Apartment,35,1376.88,366792.19,Sold,C0767,266.39372349079076
90359,9,2024-01-01,Apartment,42,605.78,197381.31,Sold,C1884,325.83002079963023
90376,9,2024-01-01,Apartment,44,1351.57,364019.33,Available,,269.3307264884542
90396,9,2024-01-01,Apartment,47,1262.78,383070.84,Sold,C1268,303.3551687546525
90427,9,2024-01-01,Apartment,53,599.72,178627.91,Sold,C0276,297.8521810178083
90428,9,2024-01-01,Apartment,54,1693.18,500160.52,Sold,C1245,295.3971343861846
90430,9,2024-01-01,Apartment,54,1693.18,555003.81,Sold,C1267,327.78783708761034
90440,9,2024-01-01,Apartment,56,1516.4,453127.52,Sold,C1070,298.81793721973094
90444,9,2024-01-01,Apartment,56,1516.4,429681.1,Available,,283.356040622527
90488,9,2024-01-01,Apartment,58,838.34,195149.33,Available,,232.78064985566712
90501,9,2024-01-01,Apartment,58,838.34,236365.7,Sold,C1345,281.9449149509745
90511,9,2024-01-01,Apartment,58,838.34,191641.45,Sold,C1952,228.59633322995444
100053,10,2024-01-01,Apartment,5,1741.96,500277.62,Sold,C0822,287.1923695147994
100077,10,2024-01-01,Apartment,9,1849.4,539103.37,Sold,C0224,291.5017681410187
100086,10,2024-01-01,Apartment,11,1675.44,521136.09,Sold,C1068,311.04431671680277
100110,10,2024-01-01,Apartment,14,1318.01,344813.48,Sold,C1458,261.61674038891965
100139,10,2024-01-01,Apartment,18,1244.03,349877.5,Sold,C0876,281.2452272051317
100145,10,2024-01-01,Apartment,19,948.04,337939.26,Available,,356.4609721108814
100154,10,2024-01-01,Apartment,19,948.04,246873.77,Available,,260.40438167165945
100170,10,2024-01-01,Apartment,22,1116.68,330051.37,Available,,295.56486191209655
100217,10,2024-01-01,Apartment,27,777.35,225796.07,Sold,C0206,290.468990802084
100230,10,2024-01-01,Apartment,28,1606.58,532017.08,Sold,C0878,331.14882545531503
100231,10,2024-01-01,Apartment,28,1606.58,425307.32,Available,,264.7283795391453
100260,10,2024-01-01,Office,31,1499.0,449151.55,Sold,C0568,299.634122748499
100311,10,2024-01-01,Apartment,37,1177.85,413750.47,Sold,C1776,351.27602835675174
100318,10,2024-01-01,Apartment,38,476.64,159970.07,Sold,C0938,335.6203214165828
100319,10,2024-01-01,Apartment,38,476.64,143209.81,Sold,C1301,300.4569696206781
100320,10,2024-01-01,Apartment,38,476.64,156338.43,Sold,C0797,328.0010699899295
100327,10,2024-01-01,Apartment,39,1188.51,335208.16,Available,,282.04067277515543
100330,10,2024-01-01,Apartment,39,1188.51,365737.57,Available,,307.7278020378457
100340,10,2024-01-01,Apartment,41,1750.64,555908.57,Available,,317.54590892473607
100355,10,2024-01-01,Apartment,43,1093.67,366202.32,Sold,C0520,334.8380407252645
100366,10,2024-01-01,Apartment,43,1093.67,338104.13,Sold,C0869,309.14638785008276
100374,10,2024-01-01,Apartment,43,1093.67,307958.64,Sold,C1984,281.58278091197525
100375,10,2024-01-01,Apartment,44,1224.71,332253.48,Sold,C0772,271.29155473540675
100392,10,2024-01-01,Apartment,45,1119.1,284280.68,Sold,C1530,254.02616388169065
100406,10,2024-01-01,Office,47,1047.27,289433.18,Available,,276.3692075587002
110009,11,2024-01-01,Apartment,1,1902.88,623754.36,Sold,C0274,327.7949003615572
110049,11,2024-01-01,Apartment,6,1724.08,576648.23,Available,,334.46721149830637
110054,11,2024-01-01,Apartment,6,1724.08,501939.76,Sold,C0594,291.13484293072247
110061,11,2024-01-01,Apartment,7,1734.79,512135.16,Sold,C0642,295.2144985848431
110100,11,2024-01-01,Apartment,11,1581.88,508552.39,Sold,C1878,321.4860735327585
110130,11,2024-01-01,Apartment,14,524.68,136179.62,Sold,C0207,259.54795303804224
110173,11,2024-01-01,Apartment,18,1562.55,470855.22,Available,,301.3376979936642
110200,11,2024-01-01,Apartment,23,1098.83,324271.22,Sold,C0769,295.1059035519598
110205,11,2024-01-01,Apartment,24,1481.82,460231.54,Sold,C0985,310.58532075420766
110226,11,2024-01-01,Apartment,27,1638.1,432388.36,Sold,C1224,263.957243147549
110233,11,2024-01-01,Office,29,993.51,312573.06,Sold,C0471,314.6149107709032
110246,11,2024-01-01,Apartment,29,993.51,340093.67,Sold,C1521,342.31529627281054
110255,11,2024-01-01,Apartment,30,642.72,178243.97,Sold,C0604,277.32756099078915
110290,11,2024-01-01,Apartment,35,540.82,143000.82,Sold,C0149,264.41481454088233
110299,11,2024-01-01,Office,37,1368.16,451844.69,Sold,C1297,330.25719945035667
110332,11,2024-01-01,Apartment,40,638.97,167129.85,Sold,C1222,261.56134090802385
110338,11,2024-01-01,Apartment,42,808.59,275616.8,Available,,340.86100495925
110351,11,2024-01-01,Apartment,42,808.59,234472.3,Available,,289.97674965062635
110371,11,2024-01-01,Apartment,44,434.38,108921.54,Sold,C0993,250.75173810948937
110380,11,2024-01-01,Apartment,44,434.38,144762.45,Sold,C1167,333.262235830379
110402,11,2024-01-01,Apartment,48,661.7,189978.51,Available,,287.1067099894212
110440,11,2024-01-01,Apartment,52,1397.58,458054.04,Sold,C0448,327.74799295925817
110447,11,2024-01-01,Apartment,52,1397.58,362828.72,Sold,C0212,259.61212953820177
110452,11,2024-01-01,Apartment,52,1397.58,418331.0,Sold,C0320,299.32526223901317
110478,11,2024-01-01,Apartment,56,724.8,221884.06,Sold,C0180,306.1314293598234
110494,11,2024-01-01,Apartment,58,1159.31,317901.09,Sold,C1385,274.21577490058746
110514,11,2024-01-01,Office,61,1299.46,407363.8,Sold,C0056,313.4869869022517
110518,11,2024-01-01,Office,61,1299.46,349404.33,Sold,C0534,268.8842519200283
110525,11,2024-01-01,Office,62,1938.82,656172.49,Available,,338.4390969765115
110551,11,2024-01-01,Apartment,64,1916.26,593841.38,Available,,309.8960370722136
110558,11,2024-01-01,Apartment,65,1427.09,500988.76,Sold,C0861,351.0561772558143
120015,12,2024-01-01,Apartment,2,1285.87,370422.47,Available,,288.07147689890894
120034,12,2024-01-01,Apartment,3,1469.27,546898.19,Available,,372.22443118010983
120056,12,2024-01-01,Apartment,6,1347.8,420572.8,Available,,312.0439234307761
120071,12,2024-01-01,Apartment,8,1803.36,500097.39,Available,,277.31423010380627
120094,12,2024-01-01,Office,12,959.05,288890.05,Sold,C0858,301.22522287680516
120120,12,2024-01-01,Apartment,14,1369.96,445754.21,Sold,C1076,325.3775365704108
120197,12,2024-01-01,Apartment,22,892.67,269005.9,Sold,C0728,301.34977091198317
120237,12,2024-01-01,Apartment,25,1540.51,480266.48,Sold,C0078,311.75810608175215
120271,12,2024-01-01,Apartment,29,688.73,165789.68,Sold,C0615,240.71795914218924
120315,12,2024-01-01,Office,34,1817.64,630134.29,Available,,346.67716929645036
120320,12,2024-01-01,Apartment,35,1690.62,489195.22,Available,,289.3584720398434
120326,12,2024-01-01,Apartment,35,1690.62,371936.4,Sold,C0145,220.00000000000003
120331,12,2024-01-01,Apartment,35,1690.62,530746.82,Available,,313.9362009203724
120351,12,2024-01-01,Apartment,38,1157.23,343865.15,Sold,C0264,297.14503599111674
120373,12,2024-01-01,Apartment,39,1653.93,596471.37,Sold,C0203,360.63882389218406
120383,12,2024-01-01,Office,43,1893.23,595281.62,Sold,C0909,314.4264669374561
120384,12,2024-01-01,Apartment,44,635.36,222895.04,Sold,C1101,350.8169226894989
130031,13,2024-01-01,Apartment,2,1651.02,520934.42,Sold,C1813,315.52277985730035
130033,13,2024-01-01,Apartment,2,1651.02,506031.7,Sold,C1487,306.49640828094147
130039,13,2024-01-01,Apartment,3,979.64,277095.12,Sold,C0696,282.8540280102895
130046,13,2024-01-01,Apartment,4,1629.74,508492.43,Sold,C1220,312.0083142096285
130114,13,2024-01-01,Apartment,14,777.75,202719.39,Sold,C0225,260.64852459016396
130129,13,2024-01-01,Apartment,15,458.29,148440.79,Sold,C1368,323.9014379541338
130145,13,2024-01-01,Apartment,17,1278.95,377532.64,Available,,295.18952265530316
130153,13,2024-01-01,Apartment,17,1278.95,355143.03,Sold,C1529,277.68327925251185
130175,13,2024-01-01,Apartment,20,516.72,136913.45,Sold,C1364,264.9664228208701
130184,13,2024-01-01,Apartment,20,516.72,174535.33,Available,,337.7754489859111
130199,13,2024-01-01,Apartment,22,1811.36,536988.38,Sold,C1659,296.4559115802491
130251,13,2024-01-01,Apartment,29,568.7,150790.34,Sold,C0280,265.1491823457007
130293,13,2024-01-01,Apartment,33,1445.84,443358.25,Sold,C0062,306.64406158357775
130326,13,2024-01-01,Apartment,37,1555.67,500885.96,Sold,C0782,321.97442902415037
130327,13,2024-01-01,Apartment,37,1555.67,546737.23,Available,,351.44807703433247
130333,13,2024-01-01,Apartment,37,1555.67,458458.71,Sold,C1580,294.701774797997
130359,13,2024-01-01,Office,40,571.5,209522.6,Available,,366.6187226596675
130365,13,2024-01-01,Apartment,40,571.5,197250.4,Sold,C1239,345.1450568678915
130385,13,2024-01-01,Apartment,43,1875.83,599817.91,Sold,C1263,319.7613376478679
130445,13,2024-01-01,Apartment,49,572.01,163367.5,Sold,C0726,285.6025244313911
130454,13,2024-01-01,Apartment,51,1253.03,394529.19,Available,,314.8601310423533
130461,13,2024-01-01,Apartment,53,968.77,263567.44,Sold,C1720,272.06399867873694
